Accession,Organism_Name,Species,Isolate,Segment,Length,Nuc_Completeness,Country,Host,Collection_Date
OM519312,Rift Valley fever virus,Phlebovirus riftense,NGR_2021_05,,624,partial,Nigeria,Homo sapiens,2019-02-11
OM519313,Rift Valley fever virus,Phlebovirus riftense,NGR_2021_06,,624,partial,Nigeria,Bos taurus,2019-03-01
OM519314,Rift Valley fever virus,Phlebovirus riftense,NGR_2021_07,,624,partial,Nigeria,Ovis aries,2020-10-08
OM519315,Rift Valley fever virus,Phlebovirus riftense,NGR_2021_08,,624,partial,Nigeria,Bos taurus,2020-10-08
OM519316,Rift Valley fever virus,Phlebovirus riftense,NGR_2021_09,,624,partial,Nigeria,Culex,2019-08-11
ON856671,Rift Valley fever virus,Phlebovirus riftense,NGR_MANS2022_01,,618,partial,Nigeria,Mansonia,2022-01-25
ON856672,Rift Valley fever virus,Phlebovirus riftense,NGR_MIDG2022_02,,618,partial,Nigeria,Ceratopogonidae,2022-01-25
ON856673,Rift Valley fever virus,Phlebovirus riftense,NGR_PHLE2022_03,,618,partial,Nigeria,Phlebotomus,2022-01-25
ON872481,Rift Valley fever virus,Phlebovirus riftense,SEBI-051,,833,partial,Tanzania,Bos taurus,2018-05-16
ON872482,Rift Valley fever virus,Phlebovirus riftense,SEBI-079,,833,partial,Tanzania,Bos taurus,2018-06-17
ON872483,Rift Valley fever virus,Phlebovirus riftense,SEBI-094,,833,partial,Tanzania,Bos taurus,2018-07-03
OK392020,Rift Valley fever virus,Phlebovirus riftense,2018/MRT,S,821,partial,Mauritania,Culicidae,2018
OK415590,Rift Valley fever virus,Phlebovirus riftense,2018/MRT,S,773,partial,Mauritania,Culicidae,2018
OK415591,Rift Valley fever virus,Phlebovirus riftense,2018/MRT/1,L,1940,partial,Mauritania,Culicidae,2018
OK415592,Rift Valley fever virus,Phlebovirus riftense,2018/MRT/2,L,4410,partial,Mauritania,Culicidae,2018
OK415593,Rift Valley fever virus,Phlebovirus riftense,2018/MRT/1,M,461,partial,Mauritania,Culicidae,2018
OK415594,Rift Valley fever virus,Phlebovirus riftense,2018/MRT/2,M,200,partial,Mauritania,Culicidae,2018
OK415595,Rift Valley fever virus,Phlebovirus riftense,2018/MRT/3,M,2066,partial,Mauritania,Culicidae,2018
OK415596,Rift Valley fever virus,Phlebovirus riftense,2018/MRT/4,M,232,partial,Mauritania,Culicidae,2018
OM744365,Rift Valley fever virus,Phlebovirus riftense,DVS-230,M,3882,complete,Kenya,Bos taurus,2021-07-15
OM744366,Rift Valley fever virus,Phlebovirus riftense,DVS-321,M,3884,complete,Kenya,Bos taurus,2021-07-15
OM744367,Rift Valley fever virus,Phlebovirus riftense,DVS-333,M,3879,complete,Kenya,Bos taurus,2021-07-15
OM744368,Rift Valley fever virus,Phlebovirus riftense,DVS-356,M,3874,complete,Kenya,Bos taurus,2021-07-15
OM744369,Rift Valley fever virus,Phlebovirus riftense,DVS-372,M,3881,complete,Kenya,Bos taurus,2021-07-15
OM744370,Rift Valley fever virus,Phlebovirus riftense,DVS-230,S,1689,complete,Kenya,Bos taurus,2021-07-15
OM744371,Rift Valley fever virus,Phlebovirus riftense,DVS-321,S,1690,complete,Kenya,Bos taurus,2021-07-15
OM744372,Rift Valley fever virus,Phlebovirus riftense,DVS-333,S,1689,complete,Kenya,Bos taurus,2021-07-15
OM744373,Rift Valley fever virus,Phlebovirus riftense,DVS-356,S,1689,complete,Kenya,Bos taurus,2021-07-15
OM744374,Rift Valley fever virus,Phlebovirus riftense,DVS-372,S,1690,complete,Kenya,Bos taurus,2021-07-15
OM744375,Rift Valley fever virus,Phlebovirus riftense,DVS-230,L,6397,complete,Kenya,Bos taurus,2021-07-15
OM744376,Rift Valley fever virus,Phlebovirus riftense,DVS-321,L,6399,complete,Kenya,Bos taurus,2021-07-15
OM744377,Rift Valley fever virus,Phlebovirus riftense,DVS-333,L,6397,complete,Kenya,Bos taurus,2021-07-15
OM744378,Rift Valley fever virus,Phlebovirus riftense,DVS-356,L,6396,complete,Kenya,Bos taurus,2021-07-15
OM744379,Rift Valley fever virus,Phlebovirus riftense,DVS-372,L,6400,complete,Kenya,Bos taurus,2021-07-15
MZ513005,Rift Valley fever virus,Phlebovirus riftense,SH326064,S,1396,partial,Senegal,Homo sapiens,2020
MZ513006,Rift Valley fever virus,Phlebovirus riftense,SH327052,S,1407,partial,Senegal,Homo sapiens,2020
MZ513007,Rift Valley fever virus,Phlebovirus riftense,SH328056,S,1358,partial,Senegal,Homo sapiens,2020
MZ513008,Rift Valley fever virus,Phlebovirus riftense,SH326064,M,3428,partial,Senegal,Homo sapiens,2020
MZ513009,Rift Valley fever virus,Phlebovirus riftense,SH327052,M,3600,partial,Senegal,Homo sapiens,2020
MZ513010,Rift Valley fever virus,Phlebovirus riftense,SH328056,M,3857,partial,Senegal,Homo sapiens,2020
MZ513011,Rift Valley fever virus,Phlebovirus riftense,SH326064,L,6376,partial,Senegal,Homo sapiens,2020
MZ513012,Rift Valley fever virus,Phlebovirus riftense,SH327052,L,6400,partial,Senegal,Homo sapiens,2020
MZ513013,Rift Valley fever virus,Phlebovirus riftense,SH328056,L,6292,partial,Senegal,Homo sapiens,2020
MW717937,Rift Valley fever virus,Phlebovirus riftense,EGY-Bat-1/20,M,513,partial,Egypt,Chiroptera,2019-12-11
MW717938,Rift Valley fever virus,Phlebovirus riftense,Egy-Bat-2/20,M,510,partial,Egypt,Chiroptera,2019-12-11
MW816826,Rift Valley fever virus,Phlebovirus riftense,EGY-Bat-1/20,S,599,partial,Egypt,Chiroptera,2019-12-11
MW816827,Rift Valley fever virus,Phlebovirus riftense,Egy-Bat-2/20,S,599,partial,Egypt,Chiroptera,2019-12-11
MW183126,Rift Valley fever virus,Phlebovirus riftense,Ndumo_2017,L,3562,partial,South Africa,Aedes durbanensis,2017
MW316057,Rift Valley fever virus,Phlebovirus riftense,RV2652,L,314,partial,South Africa,,2018
MW316058,Rift Valley fever virus,Phlebovirus riftense,RV2655,L,314,partial,South Africa,,2018
MW316059,Rift Valley fever virus,Phlebovirus riftense,RV2652,M,498,partial,South Africa,,2018
MW316060,Rift Valley fever virus,Phlebovirus riftense,RV2655,M,498,partial,South Africa,,2018
MW316061,Rift Valley fever virus,Phlebovirus riftense,RV2652,S,221,partial,South Africa,,2018
MW316062,Rift Valley fever virus,Phlebovirus riftense,RV2655,S,221,partial,South Africa,,2018
MT561459,Rift Valley fever virus,Phlebovirus riftense,Namibia_2010,S,1690,partial,Namibia,Ovis aries,2010-07-30
MT561460,Rift Valley fever virus,Phlebovirus riftense,Namibia_2010,M,3885,partial,Namibia,Ovis aries,2010-07-30
MT561461,Rift Valley fever virus,Phlebovirus riftense,Namibia_2010,L,6404,partial,Namibia,Ovis aries,2010-07-30
MT561462,Rift Valley fever virus,Phlebovirus riftense,Namibia_2011,S,1690,partial,Namibia,Antidorcas marsupialis,2011-07-30
MT561463,Rift Valley fever virus,Phlebovirus riftense,Namibia_2011,M,3830,partial,Namibia,Antidorcas marsupialis,2011-07-30
MT561464,Rift Valley fever virus,Phlebovirus riftense,Namibia_2011,L,6345,partial,Namibia,Antidorcas marsupialis,2011-07-30
KY126665,Rift Valley fever virus,Phlebovirus riftense,SPU105/10,L,6404,complete,South Africa,Homo sapiens,2010
KY126666,Rift Valley fever virus,Phlebovirus riftense,SA129/10,L,6404,complete,South Africa,Homo sapiens,2010
KY126667,Rift Valley fever virus,Phlebovirus riftense,SPU162/10,L,6404,complete,South Africa,Homo sapiens,2010
KY126668,Rift Valley fever virus,Phlebovirus riftense,SA184/10,L,6404,complete,South Africa,Homo sapiens,2010
KY126669,Rift Valley fever virus,Phlebovirus riftense,SA275/10,L,6404,complete,South Africa,Homo sapiens,2010
KY126670,Rift Valley fever virus,Phlebovirus riftense,SA276/10,L,6404,complete,South Africa,Homo sapiens,2010
KY126671,Rift Valley fever virus,Phlebovirus riftense,SA573/10,L,6404,complete,South Africa,Homo sapiens,2010
KY126672,Rift Valley fever virus,Phlebovirus riftense,SA982/10,L,6404,complete,South Africa,Homo sapiens,2010
KY126673,Rift Valley fever virus,Phlebovirus riftense,SA1094/10,L,6404,complete,South Africa,Homo sapiens,2010
KY126674,Rift Valley fever virus,Phlebovirus riftense,SA1222/10,L,6404,complete,South Africa,Homo sapiens,2010
KY126675,Rift Valley fever virus,Phlebovirus riftense,SA1796/10,L,6404,complete,South Africa,Homo sapiens,2010
KY126676,Rift Valley fever virus,Phlebovirus riftense,SA354/11,L,6404,complete,South Africa,Homo sapiens,2011
KY126677,Rift Valley fever virus,Phlebovirus riftense,SA494/11,L,6404,complete,South Africa,Homo sapiens,2011
KY126678,Rift Valley fever virus,Phlebovirus riftense,SPU77/04,L,6404,complete,Namibia,Homo sapiens,2004
KY126679,Rift Valley fever virus,Phlebovirus riftense,SPU77/08,L,6404,complete,South Africa,Syncerus caffer,2008
KY126680,Rift Valley fever virus,Phlebovirus riftense,J40/6,L,6404,complete,South Africa,Syncerus caffer,2008
KY126681,Rift Valley fever virus,Phlebovirus riftense,SPU142/08,L,6404,complete,South Africa,Bos taurus,2008
KY126682,Rift Valley fever virus,Phlebovirus riftense,SPU152/08,L,6404,complete,South Africa,Homo sapiens,2008
KY126683,Rift Valley fever virus,Phlebovirus riftense,SPU86/09,L,6404,complete,South Africa,Bos taurus,2009
KY126684,Rift Valley fever virus,Phlebovirus riftense,SPU404/09,L,6404,complete,South Africa,Homo sapiens,2009
KY126685,Rift Valley fever virus,Phlebovirus riftense,Ar74,L,6404,complete,South Africa,Aedes circumluteolus,1955
KY126686,Rift Valley fever virus,Phlebovirus riftense,An1830,L,6404,complete,South Africa,Ovis aries,1956
KY126687,Rift Valley fever virus,Phlebovirus riftense,Ar12568,L,6404,complete,South Africa,Eretmapodites quinquevittatus,1971
KY126688,Rift Valley fever virus,Phlebovirus riftense,Ar20364,L,6404,complete,South Africa,Culex zombaensis,1981
KY126689,Rift Valley fever virus,Phlebovirus riftense,SPU52/99/1,L,6404,complete,South Africa,Syncerus caffer,1999
KY126690,Rift Valley fever virus,Phlebovirus riftense,SPU105/10,M,3885,complete,South Africa,Homo sapiens,2010
KY126691,Rift Valley fever virus,Phlebovirus riftense,SA129/10,M,3885,complete,South Africa,Homo sapiens,2010
KY126692,Rift Valley fever virus,Phlebovirus riftense,SPU162/10,M,3885,complete,South Africa,Homo sapiens,2010
KY126693,Rift Valley fever virus,Phlebovirus riftense,SA184/10,M,3885,complete,South Africa,Homo sapiens,2010
KY126694,Rift Valley fever virus,Phlebovirus riftense,SA275/10,M,3885,complete,South Africa,Homo sapiens,2010
KY126695,Rift Valley fever virus,Phlebovirus riftense,SA276/10,M,3885,complete,South Africa,Homo sapiens,2010
KY126696,Rift Valley fever virus,Phlebovirus riftense,SA573/10,M,3885,complete,South Africa,Homo sapiens,2010
KY126697,Rift Valley fever virus,Phlebovirus riftense,SA982/10,M,3885,complete,South Africa,Homo sapiens,2010
KY126698,Rift Valley fever virus,Phlebovirus riftense,SA1094/10,M,3885,complete,South Africa,Homo sapiens,2010
KY126699,Rift Valley fever virus,Phlebovirus riftense,SA1222/10,M,3885,complete,South Africa,Homo sapiens,2010
KY126700,Rift Valley fever virus,Phlebovirus riftense,SA1796/10,M,3885,complete,South Africa,Homo sapiens,2010
KY126701,Rift Valley fever virus,Phlebovirus riftense,SA354/11,M,3885,complete,South Africa,Homo sapiens,2011
KY126702,Rift Valley fever virus,Phlebovirus riftense,SA494/11,M,3885,complete,South Africa,Homo sapiens,2011
KY126703,Rift Valley fever virus,Phlebovirus riftense,SPU77/04,M,3885,complete,Namibia,Homo sapiens,2004
KY126704,Rift Valley fever virus,Phlebovirus riftense,SPU77/08,M,3885,complete,South Africa,Syncerus caffer,2008
KY126705,Rift Valley fever virus,Phlebovirus riftense,J40/6,M,3885,complete,South Africa,Syncerus caffer,2008
KY126706,Rift Valley fever virus,Phlebovirus riftense,SPU142/08,M,3885,complete,South Africa,Bos taurus,2008
KY126707,Rift Valley fever virus,Phlebovirus riftense,SPU152/08,M,3885,complete,South Africa,Homo sapiens,2008
KY126708,Rift Valley fever virus,Phlebovirus riftense,SPU86/09,M,3885,complete,South Africa,Bos taurus,2009
KY126709,Rift Valley fever virus,Phlebovirus riftense,SPU404/09,M,3885,complete,South Africa,Homo sapiens,2009
KY126710,Rift Valley fever virus,Phlebovirus riftense,Ar74,M,3885,complete,South Africa,Aedes circumluteolus,1955
KY126711,Rift Valley fever virus,Phlebovirus riftense,An1830,M,3885,complete,South Africa,Ovis aries,1956
KY126712,Rift Valley fever virus,Phlebovirus riftense,Ar12568,M,3885,complete,South Africa,Eretmapodites quinquevittatus,1971
KY126713,Rift Valley fever virus,Phlebovirus riftense,Ar20364,M,3885,complete,South Africa,Culex zombaensis,1981
KY126714,Rift Valley fever virus,Phlebovirus riftense,SPU52/99/1,M,3885,complete,South Africa,Syncerus caffer,1999
KY196487,Rift Valley fever virus,Phlebovirus riftense,SPU105/10,S,1690,complete,South Africa,Homo sapiens,2010
KY196488,Rift Valley fever virus,Phlebovirus riftense,SA129/10,S,1690,complete,South Africa,Homo sapiens,2010
KY196489,Rift Valley fever virus,Phlebovirus riftense,SPU162/10,S,1690,complete,South Africa,Homo sapiens,2010
KY196490,Rift Valley fever virus,Phlebovirus riftense,SA184/10,S,1691,complete,South Africa,Homo sapiens,2010
KY196491,Rift Valley fever virus,Phlebovirus riftense,SA275/10,S,1690,complete,South Africa,Homo sapiens,2010
KY196492,Rift Valley fever virus,Phlebovirus riftense,SA276/10,S,1691,complete,South Africa,Homo sapiens,2010
KY196493,Rift Valley fever virus,Phlebovirus riftense,SA573/10,S,1690,complete,South Africa,Homo sapiens,2010
KY196494,Rift Valley fever virus,Phlebovirus riftense,SA982/10,S,1691,complete,South Africa,Homo sapiens,2010
KY196495,Rift Valley fever virus,Phlebovirus riftense,SA1094/10,S,1690,complete,South Africa,Homo sapiens,2010
KY196496,Rift Valley fever virus,Phlebovirus riftense,SA1222/10,S,1691,complete,South Africa,Homo sapiens,2010
KY196497,Rift Valley fever virus,Phlebovirus riftense,SA1796/10,S,1690,complete,South Africa,Homo sapiens,2010
KY196498,Rift Valley fever virus,Phlebovirus riftense,SA354/11,S,1690,complete,South Africa,Homo sapiens,2011
KY196499,Rift Valley fever virus,Phlebovirus riftense,SA494/11,S,1690,complete,South Africa,Homo sapiens,2011
KY196500,Rift Valley fever virus,Phlebovirus riftense,SPU77/04,S,1690,complete,Namibia,Homo sapiens,2004
KY196501,Rift Valley fever virus,Phlebovirus riftense,SPU77/08,S,1689,complete,South Africa,Syncerus caffer,2008
KY196502,Rift Valley fever virus,Phlebovirus riftense,J40/6,S,1692,complete,South Africa,Syncerus caffer,2008
KY196503,Rift Valley fever virus,Phlebovirus riftense,SPU142/08,S,1692,complete,South Africa,Bos taurus,2008
KY196504,Rift Valley fever virus,Phlebovirus riftense,SPU152/08,S,1692,complete,South Africa,Homo sapiens,2008
KY196505,Rift Valley fever virus,Phlebovirus riftense,SPU86/09,S,1689,complete,South Africa,Bos taurus,2009
KY196506,Rift Valley fever virus,Phlebovirus riftense,SPU404/09,S,1690,complete,South Africa,Homo sapiens,2009
KY196507,Rift Valley fever virus,Phlebovirus riftense,Ar74,S,1691,complete,South Africa,Aedes circumluteolus,1955
KY196508,Rift Valley fever virus,Phlebovirus riftense,An1830,S,1691,complete,South Africa,Ovis aries,1956
KY196509,Rift Valley fever virus,Phlebovirus riftense,Ar12568,S,1691,complete,South Africa,Eretmapodites quinquevittatus,1971
KY196510,Rift Valley fever virus,Phlebovirus riftense,Ar20364,S,1690,complete,South Africa,Culex zombaensis,1981
KY196511,Rift Valley fever virus,Phlebovirus riftense,SPU52/99/1,S,1690,complete,South Africa,Syncerus caffer,1999
MG659733,Rift Valley fever virus,Phlebovirus riftense,Ar 118,M,3885,complete,South Africa,Aedes circumluteolus,1955
MG659734,Rift Valley fever virus,Phlebovirus riftense,SPU59/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659735,Rift Valley fever virus,Phlebovirus riftense,SA62/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659736,Rift Valley fever virus,Phlebovirus riftense,SPU68/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659737,Rift Valley fever virus,Phlebovirus riftense,SA71/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659738,Rift Valley fever virus,Phlebovirus riftense,SA76/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659739,Rift Valley fever virus,Phlebovirus riftense,SA79/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659740,Rift Valley fever virus,Phlebovirus riftense,SA85/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659741,Rift Valley fever virus,Phlebovirus riftense,SPU86/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659742,Rift Valley fever virus,Phlebovirus riftense,SA93/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659743,Rift Valley fever virus,Phlebovirus riftense,SA95/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659744,Rift Valley fever virus,Phlebovirus riftense,SPU97/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659745,Rift Valley fever virus,Phlebovirus riftense,SPU100/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659746,Rift Valley fever virus,Phlebovirus riftense,SA103/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659747,Rift Valley fever virus,Phlebovirus riftense,SA106/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659748,Rift Valley fever virus,Phlebovirus riftense,SA110/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659749,Rift Valley fever virus,Phlebovirus riftense,SA122/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659750,Rift Valley fever virus,Phlebovirus riftense,SPU126/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659751,Rift Valley fever virus,Phlebovirus riftense,SA128/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659752,Rift Valley fever virus,Phlebovirus riftense,SA135/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659753,Rift Valley fever virus,Phlebovirus riftense,SA165/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659754,Rift Valley fever virus,Phlebovirus riftense,SA206/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659755,Rift Valley fever virus,Phlebovirus riftense,SA220/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659756,Rift Valley fever virus,Phlebovirus riftense,SA225/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659757,Rift Valley fever virus,Phlebovirus riftense,SA226/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659758,Rift Valley fever virus,Phlebovirus riftense,SA250/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659759,Rift Valley fever virus,Phlebovirus riftense,SA257/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659760,Rift Valley fever virus,Phlebovirus riftense,SA287/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659761,Rift Valley fever virus,Phlebovirus riftense,SA317/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659762,Rift Valley fever virus,Phlebovirus riftense,SA322/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659763,Rift Valley fever virus,Phlebovirus riftense,SA336/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659764,Rift Valley fever virus,Phlebovirus riftense,SA344/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659765,Rift Valley fever virus,Phlebovirus riftense,SA377/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659766,Rift Valley fever virus,Phlebovirus riftense,SA394/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659767,Rift Valley fever virus,Phlebovirus riftense,SA395/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659768,Rift Valley fever virus,Phlebovirus riftense,SA414/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659769,Rift Valley fever virus,Phlebovirus riftense,SA420/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659770,Rift Valley fever virus,Phlebovirus riftense,SA424/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659771,Rift Valley fever virus,Phlebovirus riftense,SA472/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659772,Rift Valley fever virus,Phlebovirus riftense,SA482/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659773,Rift Valley fever virus,Phlebovirus riftense,SA484/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659774,Rift Valley fever virus,Phlebovirus riftense,SA509/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659775,Rift Valley fever virus,Phlebovirus riftense,SA535/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659776,Rift Valley fever virus,Phlebovirus riftense,SA538/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659777,Rift Valley fever virus,Phlebovirus riftense,SA591/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659778,Rift Valley fever virus,Phlebovirus riftense,SA632/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659779,Rift Valley fever virus,Phlebovirus riftense,SA633/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659780,Rift Valley fever virus,Phlebovirus riftense,SA635/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659781,Rift Valley fever virus,Phlebovirus riftense,SA638/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659782,Rift Valley fever virus,Phlebovirus riftense,SA665/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659783,Rift Valley fever virus,Phlebovirus riftense,SA705/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659784,Rift Valley fever virus,Phlebovirus riftense,SA746/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659785,Rift Valley fever virus,Phlebovirus riftense,SA770/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659786,Rift Valley fever virus,Phlebovirus riftense,SA918/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659787,Rift Valley fever virus,Phlebovirus riftense,SA1061/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659788,Rift Valley fever virus,Phlebovirus riftense,SA1081/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659789,Rift Valley fever virus,Phlebovirus riftense,SA1092/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659790,Rift Valley fever virus,Phlebovirus riftense,SA1167/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659791,Rift Valley fever virus,Phlebovirus riftense,SA1095/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659792,Rift Valley fever virus,Phlebovirus riftense,SA1098/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659793,Rift Valley fever virus,Phlebovirus riftense,SA1143/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659794,Rift Valley fever virus,Phlebovirus riftense,SA1171/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659795,Rift Valley fever virus,Phlebovirus riftense,SA1224/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659796,Rift Valley fever virus,Phlebovirus riftense,SA1282/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659797,Rift Valley fever virus,Phlebovirus riftense,SA1329/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659798,Rift Valley fever virus,Phlebovirus riftense,SA1372/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659799,Rift Valley fever virus,Phlebovirus riftense,SA1405/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659800,Rift Valley fever virus,Phlebovirus riftense,SA1457/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659801,Rift Valley fever virus,Phlebovirus riftense,SA1518/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659802,Rift Valley fever virus,Phlebovirus riftense,SA1601/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659803,Rift Valley fever virus,Phlebovirus riftense,SA1797/10,M,3885,complete,South Africa,Homo sapiens,2010
MG659804,Rift Valley fever virus,Phlebovirus riftense,SA67/11,M,3885,complete,South Africa,Homo sapiens,2011
MG659805,Rift Valley fever virus,Phlebovirus riftense,SA295/11,M,3885,complete,South Africa,Homo sapiens,2011
MG659806,Rift Valley fever virus,Phlebovirus riftense,SA320/11,M,3885,complete,South Africa,Homo sapiens,2011
MG659807,Rift Valley fever virus,Phlebovirus riftense,SA327/11,M,3885,complete,South Africa,Homo sapiens,2011
MG659808,Rift Valley fever virus,Phlebovirus riftense,SA342/11,M,3885,complete,South Africa,Homo sapiens,2011
MG659809,Rift Valley fever virus,Phlebovirus riftense,SA359/11,M,3885,complete,South Africa,Homo sapiens,2011
MG659810,Rift Valley fever virus,Phlebovirus riftense,SA389/11,M,3885,complete,South Africa,Homo sapiens,2011
MG659811,Rift Valley fever virus,Phlebovirus riftense,SA579/11,M,3885,complete,Namibia,Homo sapiens,2011
MG659812,Rift Valley fever virus,Phlebovirus riftense,B314,M,3885,complete,Kenya,Bos taurus,1962
MG659813,Rift Valley fever virus,Phlebovirus riftense,S35,M,3885,complete,Kenya,Ovis aries,1972
MG659814,Rift Valley fever virus,Phlebovirus riftense,VRL2051/76,M,3885,complete,Zimbabwe,Homo sapiens,1976
MG659815,Rift Valley fever virus,Phlebovirus riftense,VRL1217/78,M,3885,complete,Zimbabwe,Ovis aries,1978
MG659816,Rift Valley fever virus,Phlebovirus riftense,VRL1290/78,M,3885,complete,Zimbabwe,Bos taurus,1978
MG659817,Rift Valley fever virus,Phlebovirus riftense,Lunyo,M,3885,complete,Uganda,Aedes,1955
MG659818,Rift Valley fever virus,Phlebovirus riftense,HD21955,M,3885,complete,Senegal,Homo sapiens,1975
MG659819,Rift Valley fever virus,Phlebovirus riftense,Ar 118,L,6404,complete,South Africa,Aedes circumluteolus,1955
MG659820,Rift Valley fever virus,Phlebovirus riftense,SPU59/10,L,6404,complete,South Africa,Homo sapiens,2010
MG659821,Rift Valley fever virus,Phlebovirus riftense,SA62/10,L,6404,complete,South Africa,Homo sapiens,2010
MG659822,Rift Valley fever virus,Phlebovirus riftense,SPU68/10,L,6404,complete,South Africa,Homo sapiens,2010
MG659823,Rift Valley fever virus,Phlebovirus riftense,SA71/10,L,6404,complete,South Africa,Homo sapiens,2010
MG659824,Rift Valley fever virus,Phlebovirus riftense,SA76/10,L,6404,complete,South Africa,Homo sapiens,2010
MG659825,Rift Valley fever virus,Phlebovirus riftense,SA79/10,L,6404,complete,South Africa,Homo sapiens,2010
MG659826,Rift Valley fever virus,Phlebovirus riftense,SA85/10,L,6404,complete,South Africa,Homo sapiens,2010
MG659827,Rift Valley fever virus,Phlebovirus riftense,SPU86/10,L,6404,complete,South Africa,Homo sapiens,2010
MG659828,Rift Valley fever virus,Phlebovirus riftense,SA93/10,L,6404,complete,South Africa,Homo sapiens,2010
MG659829,Rift Valley fever virus,Phlebovirus riftense,SA95/10,L,6404,complete,South Africa,Homo sapiens,2010
MG659830,Rift Valley fever virus,Phlebovirus riftense,SPU97/10,L,6404,complete,South Africa,Homo sapiens,2010
MG659831,Rift Valley fever virus,Phlebovirus riftense,SPU100/10,L,6404,complete,South Africa,Homo sapiens,2010
MG659832,Rift Valley fever virus,Phlebovirus riftense,SA103/10,L,6404,complete,South Africa,Homo sapiens,2010
MG659833,Rift Valley fever virus,Phlebovirus riftense,SA106/10,L,6404,complete,South Africa,Homo sapiens,2010
MG659834,Rift Valley fever virus,Phlebovirus riftense,SA110/10,L,6404,complete,South Africa,Homo sapiens,2010
MG659835,Rift Valley fever virus,Phlebovirus riftense,SA122/10,L,6404,complete,South Africa,Homo sapiens,2010
MG659836,Rift Valley fever virus,Phlebovirus riftense,SPU126/10,L,6404,complete,South Africa,Homo sapiens,2010
MG659837,Rift Valley fever virus,Phlebovirus riftense,SA128/10,L,6404,complete,South Africa,Homo sapiens,2010
